posted_by,under_construction,rera_approved,no_of_rooms,property_type,area_sqft,ready_to_move,resale,lon,lat,city,price_lacs
Owner,0,0,3,BHK,1680.107527,1,1,28.861993,78.756315,Kanpur,75.0
Owner,0,0,2,BHK,1150.136038,1,1,19.980678,79.297436,Jaipur,93.0
Owner,0,0,3,BHK,1550.114497,1,1,28.576117,77.382136,Noida,88.0
Owner,0,0,5,BHK,1699.834163,1,1,28.6711,77.3683,Ghaziabad,82.0
Owner,1,0,3,BHK,1600.170685,0,1,9.952439,76.36329649999999,Kochi,75.0
Owner,0,0,1,BHK,600.0566091,1,1,18.75,73.08,Raigad,21.2
Dealer,0,1,2,BHK,1429.200617,1,1,30.661104,76.746082,Mohali,64.9
Owner,0,0,2,BHK,1115.1379980000002,1,1,13.008071,77.65129499999999,Bangalore,80.0
Dealer,0,0,4,BHK,2750.929368,1,1,27.216013,77.950834,Agra,74.0
Owner,0,0,3,BHK,1811.196487,1,1,23.35556,85.33471999999999,Ranchi,99.0
Owner,0,0,2,BHK,1045.036079,1,1,22.43917,88.39583,Kolkata,42.0
Dealer,0,0,3,BHK,3433.996566,1,1,28.403138,77.070052,Gurgaon,340.0
Owner,0,0,3,BHK,1298.219585,1,1,12.840956,77.659441,Bangalore,70.0
Owner,1,1,2,BHK,1109.165207,0,1,13.278237,74.747328,Udupi,38.0
Dealer,1,1,4,BHK,1304.034182,0,0,18.96,72.82,Maharashtra,470.0
Dealer,0,1,2,BHK,1041.195111,1,1,28.59632,77.38143000000001,Noida,46.0
Dealer,0,0,3,BHK,2135.748916,1,1,28.394375,77.35722700000001,Faridabad,83.7
Owner,0,1,3,BHK,1850.180505,1,1,28.579004,77.431173,Noida,82.0
Dealer,0,0,3,BHK,1665.080875,1,1,23.166495,72.63429000000001,Gandhinagar,70.0
Owner,0,1,2,BHK,398.2621289,1,1,26.707154,80.98234599999999,Lucknow,11.0
Owner,0,0,2,BHK,1005.025126,1,1,12.80009,77.71181999999999,Bangalore,48.0
Dealer,0,1,4,BHK,4900.959771,1,1,18.5438,73.9438,Pune,240.0
Dealer,0,1,2,BHK,1294.016156,1,1,19.128324,72.825408,Mumbai,330.0
Dealer,0,1,3,BHK,1536.806516,1,1,28.6423,77.3445,Ghaziabad,100.0
Owner,0,0,2,BHK,1123.188406,1,1,12.9816,77.6729,Bangalore,62.0
Dealer,0,0,2,BHK,800.1939864,1,1,26.955346,75.73479300000001,Jaipur,16.5
Dealer,0,1,4,BHK,2655.807365,1,1,19.239813,72.962722,Maharashtra,300.0
Dealer,0,0,3,BHK,1513.775356,1,1,12.905368,77.580403,Bangalore,100.0
Owner,0,0,3,BHK,1280.0,1,1,9.930471,76.271273,Kochi,48.0
Owner,0,0,1,BHK,410.0678733,1,1,28.568846,77.324966,Lucknow,14.5
Dealer,0,0,4,BHK,3429.355281,1,1,22.312063,72.674296,Vadodara,100.0
Dealer,0,0,2,BHK,890.0451868999999,1,1,28.582887,77.339935,Mumbai,65.0
Owner,0,0,2,BHK,977.7082519,1,1,22.1764,75.8193,Indore,25.0
Dealer,0,0,2,BHK,1099.855282,1,1,12.977126,77.577724,Bangalore,38.0
Owner,1,0,2,BHK,1050.241272,0,1,26.29564,73.03943000000001,Jodhpur,37.0
Dealer,0,1,3,BHK,1400.241838,1,1,26.900926,75.775927,Ghaziabad,57.9
Dealer,0,0,3,BHK,1740.139211,1,1,19.048979,73.078232,Mumbai,180.0
Dealer,0,1,2,BHK,1149.131767,1,1,24.69028,78.41889,Lalitpur,180.0
Dealer,0,0,2,BHK,650.1950585,1,1,11.026678,76.903583,Coimbatore,20.0
Owner,0,0,2,BHK,1355.01355,1,1,26.878068,75.77985600000001,Jaipur,85.0
Dealer,0,0,3,BHK,1800.0720030000002,1,1,12.96991,77.59796,Bangalore,150.0
Dealer,0,1,2,BHK,907.6305221,1,1,21.56128,74.21238000000001,Maharashtra,33.9
Dealer,0,0,3,BHK,1636.296021,1,1,13.141581,77.749756,Bangalore,88.0
Owner,0,0,2,BHK,900.2520706,1,1,22.261354,73.215533,Vadodara,25.0
Owner,0,0,2,BHK,1318.0440230000002,1,1,12.905538,77.694263,Bangalore,100.0
Dealer,0,1,3,BHK,1949.586451,1,1,30.684523,76.691728,Mohali,99.0
Dealer,0,0,3,BHK,1643.36522,1,1,9.930471,76.271273,Kochi,67.0
Dealer,0,0,3,BHK,1233.045623,1,1,18.96,72.82,Maharashtra,210.0
Dealer,0,0,1,BHK,655.0802139,1,1,18.964489,73.019574,Maharashtra,49.0
Owner,0,0,2,BHK,1180.173092,1,1,12.96991,77.59796,Bangalore,75.0
Owner,0,0,3,BHK,1200.087279,1,1,28.6711,77.3683,Ghaziabad,55.0
Dealer,0,0,4,BHK,6974.645114,1,1,22.53028,88.33417,Kolkata,1700.0
Owner,1,1,4,BHK,2700.075602,0,1,28.535689,77.35967099999999,Noida,250.0
Owner,0,0,2,BHK,850.0991782,1,1,26.928785,75.828002,Jaipur,30.0
Dealer,1,1,4,BHK,2636.296531,0,1,12.8855,77.5638,Bangalore,250.0
Owner,0,0,2,BHK,900.0163639,1,1,12.928575,77.58572099999999,Bangalore,55.0
Dealer,1,0,4,BHK,2472.952087,0,1,18.475864,73.89000899999999,Pune,160.0
Dealer,0,0,2,BHK,904.0656205,1,1,20.098413,79.10786,Bangalore,50.7
Dealer,1,1,1,BHK,265.0033933,0,1,19.1145,72.8712,Lalitpur,82.0
Dealer,1,1,3,BHK,1570.306924,0,1,26.16667,75.78333,Jaipur,110.0
Dealer,0,0,2,BHK,955.4140127,1,1,19.255098,72.9815265,Lalitpur,150.0
Dealer,0,0,2,BHK,1000.0,1,1,28.593566,77.362752,Noida,60.0
Dealer,0,0,4,BHK,2494.747899,1,1,12.995285,77.766797,Bangalore,95.0
Owner,0,0,2,BHK,1150.130348,1,1,13.1101,80.2095,Chennai,75.0
Dealer,0,0,2,BHK,1210.136674,1,1,19.0168,73.09646,Mumbai,85.0
Dealer,0,0,2,BHK,1365.001365,1,1,19.126499,72.99956,Mumbai,200.0
Dealer,1,1,2,BHK,499.6366279,0,0,19.255098,72.9815265,Maharashtra,110.0
Dealer,0,0,2,BHK,1050.144395,1,1,22.271214,73.188827,Vadodara,40.0
Owner,0,0,1,BHK,476.0204688999999,1,1,13.020957,80.152774,Chennai,40.0
Dealer,0,0,2,BHK,985.452839,1,1,28.538774,77.366515,Noida,21.0
Dealer,0,0,2,BHK,1045.296167,1,1,28.368269,77.37273,Faridabad,24.0
Dealer,1,1,2,BHK,1301.89498,0,1,12.86,77.786,Bangalore,90.0
Owner,0,0,2,BHK,2000.0,1,1,28.2102,76.8606,Bhiwadi,38.0
Dealer,1,1,4,BHK,4465.709729,0,1,28.526624,77.37671800000001,Noida,280.0
Dealer,0,0,2,BHK,1192.0,1,1,20.286571,85.810906,Bhubaneswar,59.6
Dealer,1,0,3,BHK,1846.153846,0,0,22.5922,88.484911,Kolkata,120.0
Dealer,1,0,1,BHK,448.5310608,0,1,19.221571,73.042474,Mumbai,120.0
Owner,0,0,2,BHK,750.0604887000001,1,1,28.66667,77.41667,Ghaziabad,31.0
Dealer,0,0,2,BHK,1060.0706710000002,1,1,19.040066,73.115347,Maharashtra,72.0
Dealer,0,1,3,BHK,1415.09434,1,1,12.8458,77.6727,Bangalore,79.5
Dealer,0,0,2,BHK,1160.062565,1,1,18.96,72.82,Maharashtra,89.0
Dealer,0,0,3,BHK,1690.024732,1,1,19.1615,72.8731,Lalitpur,410.0
Owner,1,0,3,BHK,1672.762741,0,1,28.495803,77.42684799999999,Noida,68.6
Owner,0,0,2,BHK,1315.265046,1,1,20.606469,72.913465,Valsad,33.0
Dealer,0,0,1,BHK,650.026001,1,1,19.245347,73.124577,Mumbai,50.0
Owner,0,0,1,BHK,540.1755571,1,1,19.585537,72.83686800000001,Palghar,16.0
Dealer,0,0,3,BHK,1830.065359,1,1,20.098413,79.10786,Bangalore,98.0
Dealer,0,0,3,BHK,1575.157516,1,1,28.66667,77.41667,Ghaziabad,70.0
Dealer,0,0,3,BHK,1530.0,1,1,12.904179,77.665897,Bangalore,76.5
Owner,0,0,2,BHK,619.6377502,1,1,12.758604,77.700377,Bangalore,26.0
Owner,0,0,4,BHK,2200.0,1,1,21.17,72.83,Surat,110.0
Dealer,0,0,3,BHK,1757.188498,1,1,40.67197199,-86.15292909,Kolkata,77.0
Dealer,0,1,2,BHK,1087.885617,1,1,19.239813,72.962722,Mumbai,140.0
Owner,0,0,2,BHK,1199.862873,1,1,12.880993,77.557654,Bangalore,70.0
Owner,0,0,2,BHK,1265.035255,1,1,13.033421,77.603954,Bangalore,61.0
Dealer,0,0,2,BHK,676.0453302,1,1,22.301625,88.242147,Kolkata,17.3
Owner,0,0,2,BHK,800.0,1,1,28.678014,77.38296,Ghaziabad,42.0
Owner,0,0,2,BHK,750.0750075,1,1,22.486821,88.233267,Kolkata,25.0
Dealer,0,1,2,BHK,1500.0,1,0,13.086769,80.191135,Chennai,150.0
Dealer,0,0,3,BHK,1814.285714,1,1,20.257483,85.780142,Bhubaneswar,88.9
Dealer,0,1,3,BHK,1195.652174,1,1,24.69028,78.41889,Lalitpur,110.0
Dealer,0,0,3,BHK,1395.032324,1,1,26.900926,75.775927,Ghaziabad,41.0
Owner,0,0,2,BHK,850.1594049,1,1,19.696531,72.767746,Palghar,24.0
Dealer,0,0,2,BHK,909.4339623,1,1,12.957707,80.18367099999999,Chennai,48.2
Owner,1,0,2,BHK,910.0937672,0,1,25.248438,83.014116,Varanasi,33.0
Dealer,0,0,3,BHK,1850.070303,1,1,12.96991,77.59796,Bangalore,250.0
Dealer,0,1,3,BHK,2069.857697,1,1,28.546788,77.37849399999999,Noida,160.0
Dealer,0,1,2,BHK,820.0082001000001,1,1,19.18,72.96333,Mumbai,140.0
Dealer,0,0,2,BHK,1241.8075199999998,1,1,23.182972,72.611485,Gandhinagar,36.0
Dealer,0,1,3,BHK,1014.120668,1,0,18.5438,73.9438,Maharashtra,79.0
Dealer,0,0,4,BHK,2302.158273,1,1,30.697795000000003,76.714722,Mohali,160.0
Dealer,0,0,2,BHK,900.0782677000001,1,1,24.69028,78.41889,Lalitpur,69.0
Builder,1,0,2,BHK,898.5074627,0,0,26.154874,91.670312,Guwahati,30.1
Dealer,0,0,3,BHK,2235.294118,1,1,26.91667,75.86667,Jaipur,190.0
Dealer,0,0,3,BHK,1350.0,1,1,28.5679,77.3679,Noida,81.0
Dealer,0,1,2,BHK,1100.110011,1,1,18.485487,73.80377299999999,Pune,70.0
Dealer,0,1,1,BHK,612.1199755,1,1,12.8356,80.1682,Chennai,30.0
Owner,0,0,2,BHK,1100.352113,1,1,20.892133,77.741664,Amravati,25.0
Dealer,0,1,5,BHK,5194.805195,1,1,28.522931,77.357078,Noida,400.0
Dealer,0,0,3,BHK,1475.2567689999998,1,1,28.506454,77.40956800000001,Noida,79.0
Dealer,0,1,4,BHK,2780.191138,1,1,28.558047,77.392752,Noida,160.0
Builder,1,0,1,BHK,300.0260892,0,0,24.69028,78.41889,Lalitpur,11.5
Owner,0,0,2,BHK,1000.0,1,1,17.7,83.25,Visakhapatnam,50.0
Dealer,0,0,2,BHK,1532.720245,1,1,19.1615,72.8731,Mumbai,230.0
Dealer,1,1,2,BHK,995.8314034,0,0,22.311323,73.121275,Vadodara,21.5
Dealer,0,0,3,BHK,1646.706587,1,0,28.406794,76.936447,Gurgaon,110.0
Dealer,0,0,4,BHK,2350.965575,1,1,30.664299,76.817624,Mohali,56.0
Owner,0,0,3,BHK,534.061239,1,1,28.34532,77.299035,Faridabad,45.0
Dealer,1,1,2,BHK,1100.0,0,1,19.218498,72.992114,Mumbai,110.0
Dealer,0,0,3,BHK,1968.888889,1,1,26.16667,91.76667,Guwahati,88.6
Dealer,0,1,3,BHK,2196.354052,1,1,28.536585,77.383669,Noida,100.0
Dealer,0,1,4,BHK,2400.0,1,1,22.281215,70.789479,Mumbai,300.0
Dealer,0,0,2,BHK,1650.252861,1,1,18.49667,73.94167,Pune,62.0
Dealer,1,1,2,BHK,632.0572844999999,0,0,19.402549,72.85441800000001,Mumbai,45.9
Owner,0,0,2,BHK,1034.965035,1,1,26.882832,81.033767,Lucknow,37.0
Dealer,0,0,2,BHK,965.0439631,1,1,18.96,72.82,Maharashtra,90.0
Builder,1,1,2,BHK,600.5495224,0,0,24.69028,78.41889,Lalitpur,45.9
Dealer,0,0,2,BHK,984.8484848,1,1,19.255098,72.9815265,Mumbai,130.0
Dealer,0,0,3,BHK,1700.060716,1,1,19.05871,72.89969,Mumbai,420.0
Dealer,0,1,1,BHK,546.0145603999999,1,0,19.18,72.96333,Mumbai,58.5
Dealer,0,0,2,BHK,1195.499297,1,1,22.55,72.9,Anand,17.0
Dealer,1,1,3,BHK,1677.4685470000002,0,1,18.914541,72.818211,Mumbai,220.0
Dealer,0,1,3,BHK,1699.716714,1,1,28.629811,77.434197,Ghaziabad,48.0
Dealer,0,0,2,BHK,1075.027996,1,1,28.602325,77.40199399999999,Noida,48.0
Dealer,1,1,1,BHK,485.790072,0,0,19.222101,72.988231,Mumbai,64.1
Owner,0,0,2,BHK,929.8998569,1,1,12.919423,77.522774,Bangalore,52.0
Dealer,0,0,3,BHK,1438.021283,1,1,19.124896,72.89350300000001,Lalitpur,600.0
Dealer,0,0,5,BHK,5299.954894,1,1,12.91668,77.59196,Bangalore,470.0
Dealer,0,1,2,BHK,1020.181859,1,1,13.055985,77.622157,Bangalore,46.0
Owner,0,0,2,BHK,1070.135002,1,1,28.6423,77.3445,Ghaziabad,65.0
Owner,0,0,2,BHK,2400.384061,1,1,13.603543,79.460402,Tirupati,50.0
Owner,0,0,3,BHK,1767.388826,1,1,17.546483,78.480303,Secunderabad,77.5
Builder,1,1,1,BHK,524.0,0,0,18.6182,73.7447,Pune,26.2
Dealer,1,1,2,BHK,923.7875289,0,1,28.359199,76.836683,Gurgaon,120.0
Dealer,0,0,3,BHK,1657.275439,1,1,12.9223,77.5532,Bangalore,100.0
Dealer,0,0,2,BHK,680.0,1,1,19.1759,72.9522,Lalitpur,170.0
Owner,0,0,2,BHK,1100.478469,1,1,22.3301,73.1611,Vadodara,23.0
Dealer,0,1,3,BHK,1701.6949149999998,1,0,21.152442,81.090184,Raipur,50.2
Owner,0,0,1,BHK,451.0309278,1,1,28.689982,77.339807,Ghaziabad,14.0
Dealer,0,0,3,BHK,2727.8562260000003,1,1,22.54111,88.33778000000001,Kolkata,85.0
Owner,0,0,2,BHK,1000.0,1,1,18.116670000000003,83.41667,Vizianagaram,30.0
Dealer,0,0,3,BHK,1790.1897600000002,1,1,28.388225,76.946376,Gurgaon,100.0
Owner,0,0,2,BHK,1100.352113,1,1,22.598675,88.438512,Kolkata,25.0
Dealer,0,1,2,BHK,1232.162459,1,1,28.381971000000004,77.347688,Faridabad,44.9
Dealer,0,0,1,BHK,497.988891,1,1,26.137220000000003,91.62778,Guwahati,26.0
Owner,0,0,3,BHK,1726.017442,1,1,12.995285,77.766797,Bangalore,95.0
Dealer,1,1,3,BHK,1320.052802,0,1,18.5438,73.9438,Pune,110.0
Owner,0,0,2,BHK,990.0990099,1,1,21.250076,81.660749,Raipur,25.0
Dealer,0,0,1,BHK,675.0441375,1,1,24.69028,78.41889,Lalitpur,65.0
Owner,0,0,2,BHK,674.0361283,1,1,10.5339,76.2085,Thrissur,25.0
Dealer,0,0,1,BHK,775.1114886,1,1,28.543278000000004,77.358896,Noida,36.5
Dealer,0,0,2,BHK,718.1042049,1,1,19.12,72.91,Lalitpur,180.0
Dealer,1,1,4,BHK,3200.0,0,1,28.429614,77.481711,Noida,180.0
Owner,0,1,2,BHK,945.1795841,1,1,24.586021,80.78740400000001,Satna,30.0
Dealer,0,1,2,BHK,1089.028042,1,1,20.07911,73.911636,Maharashtra,160.0
Dealer,0,1,2,BHK,942.1518749,1,1,12.96991,77.59796,Bangalore,50.0
Dealer,0,0,2,BHK,1370.0,1,1,19.980678,79.297436,Jaipur,82.2
Owner,0,0,2,BHK,1265.111049,1,1,9.90708,78.102316,Madurai,90.0
Dealer,0,0,3,BHK,1394.31121,1,1,24.69028,78.41889,Lalitpur,100.0
Dealer,1,0,2,BHK,800.0,0,1,12.80009,77.71181999999999,Bangalore,27.0
Dealer,1,1,3,BHK,1505.144771,0,1,30.662283,76.822397,Chandigarh,62.9
Owner,0,0,3,BHK,1067.270375,1,1,25.232239,71.392013,Siliguri,33.0
Owner,0,0,3,BHK,1400.059577,1,1,12.913771,77.768321,Bangalore,94.0
Dealer,0,0,1,BHK,728.9473684,1,1,26.807408,75.83865899999999,Jaipur,27.7
Dealer,0,1,3,BHK,1293.103448,1,0,26.900926,75.775927,Ghaziabad,37.5
Builder,1,1,3,BHK,106469.0027,0,0,24.69028,78.41889,Lalitpur,9480.0
Dealer,0,0,3,BHK,2939.624633,1,1,28.403138,77.070052,Gurgaon,390.0
Dealer,0,1,2,BHK,1431.068385,1,1,30.661104,76.746082,Mohali,65.5
Owner,0,0,3,BHK,1350.063532,1,1,12.96991,77.59796,Bangalore,85.0
Owner,0,0,1,BHK,750.1630789,1,1,21.189685,72.841062,Surat,23.0
Dealer,0,1,3,BHK,1170.074459,1,1,24.69028,78.41889,Lalitpur,99.0
Owner,0,0,2,BHK,1121.076233,1,1,24.69028,78.41889,Lalitpur,45.0
Dealer,0,0,4,BHK,1904.761905,1,1,30.714837,76.751896,Chandigarh,100.0
Dealer,0,0,4,BHK,7054.132801999999,1,1,28.388225,76.946376,Gurgaon,460.0
Dealer,0,0,2,BHK,950.0285009,1,1,19.1758,72.8643,Maharashtra,150.0
Owner,0,0,2,BHK,969.9321048,1,1,12.852041,77.616315,Bangalore,40.0
Dealer,0,0,1,BHK,636.0078278,1,1,19.038205,73.06612,Mumbai,52.0
Dealer,0,0,4,BHK,4578.507945,1,1,12.929162,77.629041,Bangalore,340.0
Owner,0,0,1,BHK,700.0259269,1,1,18.5823,73.983,Pune,27.0
